UserId;MovieId;Rating
1;1;5.0
1;2;4.0
1;3;2.0
1;4;1.5
1;5;4.0
1;6;5.0
1;8;3.0
1;10;3.5
1;12;5.0
1;13;3.5
1;14;1.0
1;18;4.5
1;22;3.5
1;25;4.5
1;27;1.0
1;28;2.0
1;29;5.0
2;3;4.5
2;4;5.0
2;6;3.0
2;7;4.0
2;9;3.0
2;10;2.0
2;11;4.5
2;13;1.0
2;14;4.0
2;15;4.5
2;17;4.0
2;19;4.0
2;20;1.0
2;21;2.0
2;23;3.0
2;27;5.0
2;28;4.5
2;30;4.0
3;1;4.5
3;3;1.0
3;4;3.0
3;7;5.0
3;11;5.0
3;13;3.0
3;15;1.0
3;16;2.0
3;18;4.0
3;22;2.0
3;24;3.0
3;26;3.5
3;29;4.5
3;30;3.0
4;2;5.0
4;3;5.0
4;4;3.0
4;6;4.5
4;7;2.5
4;9;3.0
4;11;5.0
4;14;3.0
4;15;2.0
4;20;4.5
4;24;3.5
4;25;4.0
4;27;3.5
4;28;3.5
5;3;4.0
5;4;4.0
5;7;5.0
5;9;3.0
5;11;5.0
5;14;2.5
5;15;3.5
5;21;2.5
5;24;4.0
5;26;2.0
5;27;3.0
5;28;3.0
5;29;2.0
5;30;4.0
6;3;4.0
6;4;5.0
6;5;2.0
6;8;1.0
6;9;3.5
6;10;1.0
6;12;2.0
6;14;5.0
6;15;3.5
6;22;1.5
6;23;1.5
6;26;2.0
6;27;5.0
6;28;5.0
7;1;5.0
7;5;4.0
7;6;4.0
7;8;1.0
7;9;1.0
7;10;2.5
7;12;3.5
7;16;1.5
7;17;2.0
7;18;5.0
7;19;4.0
7;22;1.5
7;24;1.0
7;27;1.5
8;2;5.0
8;8;1.5
8;11;3.0
8;13;2.0
8;16;4.0
8;17;2.0
8;18;1.5
8;19;1.0
8;20;2.0
8;21;3.0
8;23;1.0
8;25;5.0
8;27;1.5
8;28;1.0
8;30;2.0
